-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/1981 through 02/29/2024 
Location: Latitude  47.4814   Longitude 7.7305 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 562.99 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2M,TS,QV2M,RH2M,PRECTOTCORR,PS,WS10M
1981,1,1,-0.17,-0.53,3.66,94.25,2.49,95.96,6.58
1981,1,2,-0.45,-0.68,3.6,93.69,7.43,95.73,7.45
1981,1,3,1.93,1.39,4.33,93.5,14.03,94.66,11.17
1981,1,4,0.61,0.13,4.03,94.5,12.99,94.08,6.11
1981,1,5,-2.12,-2.24,3.05,91.38,1.67,95.24,6.62
1981,1,6,-1.73,-2.07,3.3,94.5,9.09,94.84,7.2
1981,1,7,-5.48,-5.92,2.44,96.19,1.71,95.92,3.48
1981,1,8,-7.1,-9.02,1.95,89.44,0.43,96.75,2.16
1981,1,9,-8.2,-10.89,1.53,75.31,0.29,96.2,1.55
1981,1,10,-2.99,-3.67,2.99,94.75,6.48,94.72,2.22
1981,1,11,-4.2,-4.84,2.75,97.0,0.99,95.23,3.82
1981,1,12,-6.31,-7.58,2.32,94.38,1.46,94.79,3.31
1981,1,13,-4.58,-5.19,2.69,97.44,3.08,94.51,3.27
1981,1,14,-6.02,-7.11,2.32,94.5,3.65,94.57,5.5
1981,1,15,-0.98,-1.4,3.6,94.81,13.12,93.04,7.99
1981,1,16,-4.24,-4.66,2.69,95.0,2.5,94.29,5.61
1981,1,17,0.38,-0.18,3.97,95.5,5.84,93.96,7.02
1981,1,18,-1.33,-1.81,3.54,97.38,3.24,94.81,4.3
1981,1,19,-0.32,-0.92,3.78,95.56,10.58,94.74,6.81
1981,1,20,-1.79,-2.31,3.42,97.62,10.25,94.55,3.62
1981,1,21,-6.95,-9.33,2.14,95.12,0.09,96.01,1.52
1981,1,22,-10.87,-13.51,1.65,97.75,0.02,96.16,2.57
1981,1,23,-11.6,-13.09,1.53,97.94,0.04,96.21,2.52
1981,1,24,-10.23,-13.45,1.59,90.12,0.04,95.87,1.66
1981,1,25,-5.6,-7.25,2.56,96.5,0.44,95.92,2.46
1981,1,26,-2.5,-4.06,3.11,95.25,0.54,96.45,2.2
1981,1,27,-6.94,-10.49,2.14,95.5,0.01,96.92,2.18
1981,1,28,-8.46,-9.28,1.95,96.62,0.02,96.92,2.91
1981,1,29,-8.61,-10.96,1.89,94.38,0.02,96.69,1.62
1981,1,30,-7.92,-11.83,1.77,84.94,0.03,96.71,1.44
1981,1,31,-5.43,-10.73,1.83,70.19,0.01,96.86,1.68
1981,2,1,-4.14,-9.61,2.01,70.25,0.0,96.9,1.36
1981,2,2,-2.16,-8.2,1.95,57.12,0.0,96.77,1.77
1981,2,3,-1.62,-3.01,3.17,86.81,10.28,95.14,6.94
1981,2,4,0.33,-0.14,4.03,96.38,10.99,93.37,6.12
1981,2,5,-2.36,-2.67,3.11,93.88,3.86,94.36,4.39
1981,2,6,-0.02,-0.45,3.78,95.88,3.14,95.52,4.97
1981,2,7,1.26,0.51,4.21,97.06,1.58,96.25,4.52
1981,2,8,1.09,0.39,4.21,98.38,0.23,96.06,2.34
1981,2,9,0.93,0.18,3.91,91.0,0.24,95.06,2.88
1981,2,10,0.15,-0.27,3.78,94.31,2.04,95.31,4.13
1981,2,11,-2.48,-3.13,2.99,92.06,0.35,95.62,2.43
1981,2,12,-4.81,-5.02,2.44,90.62,0.04,95.01,2.95
1981,2,13,-6.3,-6.52,2.2,91.31,0.01,95.15,4.52
1981,2,14,-5.93,-6.66,2.2,89.56,0.01,95.47,2.91
1981,2,15,-4.64,-6.5,2.38,88.75,0.0,95.39,1.83
1981,2,16,-4.95,-5.51,2.56,92.56,0.0,95.3,3.12
1981,2,17,-3.3,-3.22,2.81,91.25,0.2,95.3,4.27
1981,2,18,-3.23,-3.42,2.75,89.81,0.51,94.79,4.27
1981,2,19,-4.84,-4.98,2.5,92.0,0.32,94.59,3.08
1981,2,20,-4.78,-4.83,2.44,89.81,0.36,94.81,1.44
1981,2,21,-4.93,-5.36,2.38,90.0,0.94,95.06,2.12
1981,2,22,-4.76,-5.23,2.26,84.75,0.08,94.67,2.02
1981,2,23,-2.07,-2.77,2.69,80.88,0.04,94.64,1.18
1981,2,24,-0.78,-1.42,3.11,84.69,0.51,94.99,1.71
1981,2,25,-1.79,-1.88,3.17,92.5,0.03,95.51,2.96
1981,2,26,-1.23,-1.29,3.17,89.81,0.11,95.44,1.38
1981,2,27,-1.11,-1.6,3.05,84.81,0.0,94.87,2.98
1981,2,28,0.33,0.08,3.54,86.19,5.89,94.41,2.84
1981,3,1,2.53,1.58,4.27,88.56,2.52,94.67,3.44
1981,3,2,2.87,2.45,4.58,91.75,6.62,94.37,3.23
1981,3,3,0.72,0.45,4.15,97.31,13.9,93.65,2.18
1981,3,4,1.44,0.94,4.15,92.56,2.64,94.39,2.32
1981,3,5,0.94,0.31,3.91,91.06,0.05,94.81,2.21
1981,3,6,2.55,1.99,4.33,89.06,3.82,94.82,4.02
1981,3,7,6.08,5.34,5.25,84.94,0.19,95.37,4.06
1981,3,8,6.08,5.09,5.31,85.94,6.19,95.23,6.26
1981,3,9,8.42,8.07,6.41,89.25,1.64,95.65,6.09
1981,3,10,9.33,8.76,6.84,88.06,3.05,95.47,4.28
1981,3,11,11.23,10.31,7.63,86.0,5.22,94.68,6.88
1981,3,12,8.15,7.98,6.71,93.44,14.26,94.15,4.61
1981,3,13,5.28,5.31,5.31,89.81,5.99,94.06,6.21
1981,3,14,4.12,4.02,4.76,88.44,1.22,94.29,5.74
1981,3,15,3.62,3.15,4.58,88.0,1.76,94.44,2.58
1981,3,16,1.68,1.02,4.21,92.44,3.5,94.55,3.79
1981,3,17,0.04,-0.45,3.72,92.5,4.4,94.42,3.04
1981,3,18,-0.87,-0.94,3.23,87.38,1.28,94.52,2.91
1981,3,19,1.22,0.15,3.54,81.44,0.03,94.6,2.33
1981,3,20,4.51,3.56,4.27,76.88,0.0,94.36,2.38
1981,3,21,6.57,5.92,5.25,81.06,0.0,94.54,3.86
1981,3,22,6.29,5.56,5.31,82.94,1.46,94.14,5.85
1981,3,23,8.44,8.12,6.23,85.56,7.77,94.5,6.41
1981,3,24,10.67,10.33,7.45,88.38,3.01,94.82,6.95
1981,3,25,13.74,13.42,8.54,83.12,1.71,94.92,3.81
1981,3,26,9.65,8.97,7.02,89.06,13.28,94.88,5.05
1981,3,27,7.01,6.87,5.55,85.69,0.04,94.91,3.45
1981,3,28,10.15,9.44,6.16,76.12,0.03,94.28,1.86
1981,3,29,12.09,11.25,7.08,76.19,0.46,93.85,2.35
1981,3,30,8.87,8.98,6.71,89.75,10.26,94.48,2.34
1981,3,31,9.35,8.78,7.2,92.19,0.47,94.33,2.99
1981,4,1,9.63,9.64,7.26,91.25,0.18,94.52,1.7
1981,4,2,11.43,11.71,7.75,87.31,0.06,94.79,1.76
1981,4,3,11.81,11.77,8.3,91.06,0.18,95.21,1.58
1981,4,4,11.6,11.59,7.93,88.94,0.64,95.32,2.02
1981,4,5,7.98,8.62,5.92,85.12,0.75,95.13,2.62
1981,4,6,8.29,8.17,6.47,89.56,2.11,95.11,1.92
1981,4,7,12.15,11.36,6.77,74.94,0.02,95.49,1.89
1981,4,8,12.23,10.49,7.39,78.88,0.8,95.62,1.29
1981,4,9,12.43,11.31,7.51,80.94,0.54,95.64,1.66
1981,4,10,12.52,12.4,7.93,84.0,0.02,95.38,2.84
1981,4,11,13.75,13.48,8.85,85.94,2.59,94.99,1.78
1981,4,12,14.58,13.97,8.79,81.31,2.48,95.24,1.83
1981,4,13,15.16,14.32,8.73,78.5,1.83,95.52,1.22
1981,4,14,13.93,13.59,9.03,87.19,0.67,95.51,2.84
1981,4,15,12.7,12.73,7.87,82.69,3.84,95.35,1.85
1981,4,16,10.84,10.77,6.16,73.88,1.09,94.92,4.32
1981,4,17,4.37,4.68,3.78,71.38,0.0,94.73,7.56
1981,4,18,1.41,1.87,3.11,73.62,0.0,94.97,6.04
1981,4,19,1.91,1.88,3.6,79.25,0.35,94.87,2.61
1981,4,20,4.08,4.16,4.21,80.19,0.37,95.0,3.03
1981,4,21,4.95,5.45,4.09,74.88,0.0,95.4,3.12
1981,4,22,5.08,5.73,4.39,78.06,0.0,95.0,3.05
1981,4,23,4.76,5.69,4.21,77.38,0.0,94.48,3.18
1981,4,24,5.96,6.58,4.7,76.5,0.01,94.16,3.09
1981,4,25,8.4,8.57,5.19,73.44,0.59,94.14,3.36
