-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/1981 through 02/29/2024 
Location: Latitude  40.7304   Longitude -73.9981 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 10.17 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2M,TS,QV2M,RH2M,PRECTOTCORR,PS,WS10M
1981,1,1,-2.33,2.14,2.5,79.31,0.5,101.29,2.77
1981,1,2,-1.13,2.49,2.69,77.31,1.09,100.88,8.0
1981,1,3,-4.38,0.92,2.26,84.81,0.93,101.42,5.83
1981,1,4,-10.22,-1.3,1.46,92.88,0.06,101.76,9.39
1981,1,5,-6.06,-0.16,1.95,87.56,0.02,102.28,8.62
1981,1,6,-2.58,0.87,2.5,81.94,3.65,101.85,5.84
1981,1,7,-0.06,2.47,3.17,82.56,6.88,100.34,9.48
1981,1,8,-7.5,-0.96,1.71,85.0,0.01,101.83,8.91
1981,1,9,-7.32,-1.17,1.46,73.62,0.09,102.37,2.29
1981,1,10,-5.86,-0.2,1.89,82.12,0.12,102.03,8.39
1981,1,11,-8.55,-1.42,1.59,88.5,0.0,102.04,8.52
1981,1,12,-11.24,-3.12,1.4,95.81,0.0,102.35,6.63
1981,1,13,-8.97,-2.52,1.59,88.19,0.0,101.73,5.91
1981,1,14,-4.05,-0.85,2.01,75.12,0.09,101.67,1.92
1981,1,15,-1.87,0.37,2.93,90.19,0.99,101.69,6.29
1981,1,16,-2.1,0.54,2.69,84.31,0.57,101.78,1.88
1981,1,17,-4.99,-0.34,2.14,85.75,0.25,101.3,9.63
1981,1,18,-5.41,-0.89,2.08,87.25,0.02,101.12,7.5
1981,1,19,-0.27,1.45,3.3,90.0,0.0,100.87,7.17
1981,1,20,0.26,1.41,2.99,79.44,0.02,101.46,4.67
1981,1,21,-1.81,0.37,2.26,71.06,0.06,101.66,4.2
1981,1,22,-0.52,0.58,2.99,81.44,0.01,100.69,5.55
1981,1,23,0.73,1.68,3.23,81.31,0.01,100.42,5.81
1981,1,24,-0.39,1.29,2.75,76.62,0.0,100.87,6.36
1981,1,25,-0.48,1.31,2.69,74.44,0.0,101.63,4.43
