-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/1981 through 02/29/2024 
Location: Latitude  49.2237   Longitude -123.1636 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 62.89 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2M,TS,QV2M,RH2M,PRECTOTCORR,PS,WS10M
1981,1,1,4.93,5.28,4.82,90.5,0.05,101.37,2.82
1981,1,2,5.13,4.98,4.76,87.06,0.13,101.27,2.55
1981,1,3,4.77,4.38,4.52,86.12,0.09,101.47,2.28
1981,1,4,5.95,4.84,4.64,80.88,0.01,102.06,1.73
1981,1,5,5.55,5.14,4.82,87.06,0.16,101.74,2.3
1981,1,6,6.24,5.8,5.19,88.56,2.59,101.48,2.12
1981,1,7,4.01,4.73,4.39,88.0,0.02,101.03,2.74
1981,1,8,5.52,5.73,4.82,85.94,2.82,100.75,3.49
1981,1,9,6.54,6.36,5.62,94.31,3.41,101.58,2.84
1981,1,10,5.45,5.62,5.0,90.62,0.01,101.57,2.95
1981,1,11,5.54,5.59,4.88,87.75,0.0,101.45,3.15
1981,1,12,7.11,5.69,4.76,76.5,0.0,101.43,2.93
1981,1,13,7.16,5.4,4.88,78.12,0.01,101.65,2.2
1981,1,14,5.36,5.13,4.76,86.75,0.0,101.25,2.67
1981,1,15,4.45,5.05,4.64,89.56,0.01,100.86,3.23
1981,1,16,4.37,4.9,4.52,86.88,0.05,100.51,3.23
1981,1,17,5.27,5.68,4.94,89.0,1.59,100.5,3.68
1981,1,18,7.63,7.13,5.86,90.5,8.53,100.7,3.8
1981,1,19,8.26,7.47,6.16,90.75,1.44,100.61,2.95
1981,1,20,8.65,7.68,6.23,89.12,3.77,100.47,3.18
1981,1,21,9.51,8.37,6.77,91.56,9.38,100.53,3.41
1981,1,22,9.41,7.91,6.9,93.44,4.06,100.32,2.49
1981,1,23,6.97,6.2,5.74,92.25,4.45,100.5,1.86
1981,1,24,5.87,5.2,4.94,86.44,0.75,101.17,1.95
1981,1,25,4.82,5.09,4.88,91.94,0.82,100.98,2.68
1981,1,26,5.52,5.94,5.13,90.12,10.88,99.72,4.31
1981,1,27,5.55,5.84,5.13,90.19,5.1,99.63,3.0
1981,1,28,5.24,6.05,5.19,92.56,4.42,99.08,3.12
1981,1,29,4.03,5.3,4.7,92.81,4.13,100.36,1.84
1981,1,30,4.62,5.05,4.33,83.31,0.09,101.57,1.55
1981,1,31,4.5,4.44,4.09,80.06,0.1,102.21,1.3
1981,2,1,3.83,4.32,3.66,74.69,0.07,102.48,1.27
1981,2,2,5.08,4.33,3.85,71.81,0.01,102.37,1.38
1981,2,3,4.67,4.48,4.15,79.88,0.0,101.94,2.02
1981,2,4,3.71,4.48,3.78,78.5,0.0,101.6,2.38
1981,2,5,3.02,3.97,3.42,73.62,0.0,101.54,2.33
1981,2,6,3.32,4.15,3.36,71.31,0.0,101.81,2.23
1981,2,7,3.48,4.1,3.6,74.81,0.0,101.59,1.78
1981,2,8,4.14,4.28,3.85,75.81,0.01,100.79,1.95
1981,2,9,1.37,3.71,2.69,62.81,0.16,100.95,5.48
1981,2,10,-0.92,2.92,1.77,51.62,0.0,101.62,2.84
1981,2,11,2.05,4.03,2.99,68.25,4.4,100.91,2.73
1981,2,12,4.65,5.47,5.13,96.81,9.81,100.95,2.92
1981,2,13,8.18,7.59,6.47,95.38,13.94,100.2,3.95
1981,2,14,7.83,7.44,6.16,93.69,12.9,100.57,4.11
1981,2,15,7.23,7.17,6.1,96.25,24.19,100.22,4.53
1981,2,16,9.26,8.33,6.59,89.12,23.69,99.1,5.83
1981,2,17,7.55,7.32,5.98,92.44,12.22,100.48,4.17
1981,2,18,7.83,7.51,6.04,91.81,10.25,100.26,3.17
1981,2,19,8.06,7.65,5.8,85.44,17.24,99.66,6.63
1981,2,20,6.07,6.65,5.0,87.25,3.72,102.06,3.76
1981,2,21,7.47,7.24,5.68,90.56,3.22,102.25,2.12
1981,2,22,6.88,6.98,5.37,88.12,0.02,101.23,2.71
1981,2,23,8.39,7.58,5.98,86.31,3.95,99.57,2.91
1981,2,24,6.78,6.95,5.68,91.5,5.26,99.13,2.72
1981,2,25,5.94,6.69,5.37,92.56,9.37,99.99,2.24
1981,2,26,6.76,6.66,5.0,82.5,0.99,100.41,1.84
1981,2,27,6.57,6.51,4.52,75.56,0.28,100.98,2.59
1981,2,28,7.42,7.25,5.19,81.44,0.31,100.92,2.83
1981,3,1,7.11,6.69,4.64,75.62,0.0,100.81,1.93
1981,3,2,7.97,7.01,4.64,70.31,0.65,100.43,1.37
1981,3,3,5.38,6.44,5.19,93.12,11.79,99.97,2.19
1981,3,4,5.56,6.05,4.21,75.5,0.83,100.27,3.23
1981,3,5,5.15,5.49,3.78,70.12,0.03,101.12,1.47
1981,3,6,6.18,6.47,4.15,70.94,0.01,100.69,2.93
1981,3,7,6.4,6.98,5.13,85.75,3.47,100.92,3.7
1981,3,8,7.68,7.3,5.13,80.94,0.09,102.01,2.21
1981,3,9,8.3,7.69,4.88,74.19,0.0,101.79,2.65
1981,3,10,9.64,7.98,5.25,72.25,0.01,102.07,1.88
1981,3,11,9.59,8.11,5.37,73.44,0.1,101.64,1.73
1981,3,12,8.99,7.9,5.07,72.19,0.0,100.8,1.99
1981,3,13,9.41,7.79,5.37,73.75,0.01,100.98,1.25
1981,3,14,8.45,7.76,5.68,82.81,0.29,100.93,1.82
1981,3,15,7.73,7.89,5.92,90.75,6.79,100.64,2.45
1981,3,16,7.26,7.75,5.07,81.94,1.6,101.49,4.09
1981,3,17,7.46,7.37,4.64,74.88,0.02,102.04,2.37
1981,3,18,8.67,8.44,4.64,67.0,0.0,101.1,4.78
1981,3,19,8.74,8.33,4.82,70.06,0.0,100.21,3.18
1981,3,20,8.98,8.29,5.13,71.5,0.01,99.43,2.5
1981,3,21,8.95,8.37,6.04,85.12,0.86,100.01,2.27
1981,3,22,8.94,8.8,5.62,80.44,3.45,101.1,2.85
1981,3,23,8.19,8.33,5.49,82.25,7.28,101.31,3.15
1981,3,24,8.76,8.62,5.55,80.12,5.61,100.98,3.51
