-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2022 through 02/29/2024 
Location: Latitude  35.012   Longitude 135.6761 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 251.31 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2M,TS,QV2M,RH2M,PRECTOTCORR,PS,WS10M
2022,1,1,-0.4,-0.91,3.11,85.0,1.77,99.47,4.97
2022,1,2,1.12,-0.44,3.48,83.75,1.21,99.28,2.91
2022,1,3,2.79,1.94,3.97,84.75,0.86,99.03,3.38
2022,1,4,2.21,1.98,4.03,89.56,3.67,98.98,5.02
2022,1,5,0.77,0.83,3.23,80.75,0.38,99.44,4.37
2022,1,6,1.76,1.62,3.48,79.81,0.56,99.18,2.58
2022,1,7,1.46,1.39,3.48,82.12,0.59,99.46,5.4
2022,1,8,2.35,1.64,3.54,78.31,0.0,99.26,2.17
2022,1,9,3.98,3.32,4.39,85.69,0.05,98.89,2.5
2022,1,10,4.79,3.83,4.21,79.25,0.01,98.8,3.25
2022,1,11,3.27,2.83,4.58,91.25,10.53,97.8,5.03
2022,1,12,0.19,0.34,3.3,83.94,2.1,98.22,6.43
2022,1,13,0.8,0.94,3.3,80.94,4.79,97.96,7.38
2022,1,14,0.13,0.19,3.36,86.25,3.35,98.62,5.84
2022,1,15,1.59,0.32,3.42,79.44,0.0,99.09,2.73
2022,1,16,2.69,1.75,4.09,88.06,0.45,98.93,3.59
2022,1,17,1.72,1.27,3.54,82.44,2.15,98.77,5.16
2022,1,18,-0.0,0.08,3.23,85.19,4.09,98.89,5.91
2022,1,19,0.38,-0.01,3.3,84.5,2.01,98.89,3.08
2022,1,20,0.24,0.15,3.42,87.06,3.81,98.72,6.06
2022,1,21,-0.49,-0.46,3.05,83.62,2.02,99.48,5.86
2022,1,22,0.44,-0.09,3.23,82.12,0.0,99.58,2.94
2022,1,23,1.58,0.73,3.66,85.38,11.54,99.06,1.35
2022,1,24,1.86,1.69,3.85,87.56,0.85,98.59,5.9
2022,1,25,1.78,1.21,3.72,86.31,0.0,98.84,2.67
2022,1,26,3.31,2.16,4.27,87.0,0.16,98.84,3.4
2022,1,27,2.91,2.59,3.91,83.44,0.08,98.93,3.84
2022,1,28,2.77,2.1,4.09,86.38,0.28,98.7,2.97
2022,1,29,2.9,2.23,3.91,82.88,0.34,98.45,3.07
2022,1,30,1.85,1.76,3.66,83.81,0.58,98.44,3.89
2022,1,31,1.48,1.29,3.36,80.19,0.47,98.83,3.82
2022,2,1,2.24,1.96,3.66,81.44,0.77,98.93,4.84
2022,2,2,1.69,1.64,3.54,82.69,1.72,99.14,3.88
2022,2,3,1.94,1.8,3.42,78.88,0.86,98.96,4.09
2022,2,4,1.59,1.65,3.42,79.25,0.83,98.63,4.59
2022,2,5,-0.24,0.02,2.93,77.88,6.02,98.5,7.01
2022,2,6,-0.38,-0.19,3.11,84.5,4.78,98.86,6.13
2022,2,7,1.01,0.51,3.3,81.19,1.25,99.3,2.68
2022,2,8,2.61,2.21,3.91,84.75,0.54,99.23,2.35
2022,2,9,2.26,2.3,3.54,80.25,0.08,99.24,3.77
2022,2,10,2.78,2.86,4.03,86.19,1.15,98.78,3.23
