-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2022 through 02/29/2024 
Location: Latitude  38.8853   Longitude -77.0386 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 70.81 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2M,TS,QV2M,RH2M,PRECTOTCORR,PS,WS10M
2022,1,1,12.42,11.65,8.97,97.56,5.94,99.79,3.27
2022,1,2,11.69,10.9,7.63,86.0,13.79,99.8,4.26
2022,1,3,-0.9,-0.63,2.81,79.25,9.02,101.03,7.8
2022,1,4,-3.24,-3.1,2.38,83.88,0.0,102.02,2.95
2022,1,5,0.62,0.47,3.78,94.25,0.15,100.53,4.66
2022,1,6,1.51,1.33,3.11,74.75,0.87,100.48,4.24
2022,1,7,-2.69,-2.19,2.2,72.0,2.77,101.01,7.8
2022,1,8,-3.99,-3.32,1.95,73.94,0.14,102.61,3.91
2022,1,9,1.8,1.41,3.85,87.69,8.75,101.48,6.02
2022,1,10,-1.48,-1.27,2.08,62.75,0.0,101.54,7.02
2022,1,11,-4.42,-3.54,1.53,58.5,0.0,102.42,4.59
2022,1,12,-0.35,-0.61,2.75,75.69,0.0,101.4,4.87
2022,1,13,1.56,0.48,3.66,86.25,0.0,100.55,2.2
2022,1,14,1.79,1.35,3.48,81.5,0.0,100.33,6.87
2022,1,15,-5.52,-4.54,1.4,60.56,0.0,101.68,5.34
2022,1,16,-4.64,-4.24,2.44,84.94,22.02,100.89,6.22
2022,1,17,0.94,0.61,3.3,78.56,1.18,98.47,9.98
2022,1,18,-0.61,-1.34,2.62,73.5,0.04,100.86,5.65
2022,1,19,1.99,1.3,3.6,83.44,0.3,101.02,5.12
2022,1,20,0.03,-0.29,3.23,83.44,8.55,101.4,5.47
2022,1,21,-5.74,-4.6,1.53,66.81,0.01,102.36,5.82
2022,1,22,-5.63,-5.02,1.59,70.06,0.0,101.85,3.32
2022,1,23,-1.99,-1.95,2.5,77.94,0.0,100.5,3.2
2022,1,24,-0.75,-0.8,2.75,79.0,0.0,100.32,3.92
2022,1,25,0.36,0.09,3.05,80.44,0.0,100.73,4.45
2022,1,26,-4.05,-3.49,1.77,67.25,0.0,101.96,4.24
2022,1,27,-3.46,-3.49,1.89,68.94,0.0,101.97,2.91
2022,1,28,-0.58,-0.54,3.11,86.38,2.79,100.95,3.08
2022,1,29,-5.78,-5.14,1.59,68.19,0.81,100.37,9.95
2022,1,30,-5.49,-4.86,1.77,73.38,0.0,101.02,3.23
2022,1,31,-3.16,-3.03,2.32,82.81,0.0,101.69,3.68
2022,2,1,-1.96,-2.02,2.81,88.44,0.0,102.26,3.3
2022,2,2,1.25,1.53,3.85,93.5,0.17,101.99,2.97
2022,2,3,4.54,3.89,5.31,98.75,7.24,101.3,3.84
2022,2,4,4.91,4.33,5.13,87.5,21.67,100.58,6.37
2022,2,5,-2.63,-2.09,2.01,67.19,0.46,101.92,6.75
2022,2,6,-2.44,-1.63,2.08,69.94,0.0,102.45,3.04
