-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2022 
Location: Latitude  35.012   Longitude 135.6761 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 251.31 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS              MERRA-2 Surface Pressure (kPa) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,1981,98.73,98.65,98.76,98.41,98.17,98.09,98.21,97.78,98.39,98.69,99.02,99.05,98.49
PS,1982,98.8,98.93,98.79,98.65,98.31,97.88,98.0,98.09,98.35,98.74,98.98,99.01,98.54
PS,1983,99.16,98.83,98.68,98.57,98.33,98.03,97.9,98.0,98.33,98.81,98.83,98.77,98.52
PS,1984,98.74,98.7,98.7,98.77,98.35,98.07,97.86,98.24,98.42,98.68,99.11,98.88,98.54
PS,1985,98.95,98.46,99.08,98.47,98.41,98.07,98.0,98.32,98.55,98.83,98.72,98.88,98.56
PS,1986,98.77,98.71,98.58,98.67,98.04,98.01,98.16,98.03,98.32,98.86,99.15,98.99,98.52
PS,1987,98.96,98.7,98.56,98.75,98.48,98.05,97.99,98.16,98.45,98.82,99.03,99.09,98.59
PS,1988,98.86,98.99,98.66,98.57,98.23,97.82,97.93,97.94,98.22,98.61,98.61,99.08,98.46
PS,1989,99.06,98.93,98.59,98.42,98.24,98.07,98.28,97.91,98.34,98.73,99.12,98.92,98.55
PS,1990,99.1,99.27,98.78,98.45,98.44,98.09,98.0,98.02,98.44,98.79,98.91,98.94,98.6
PS,1991,98.86,98.69,98.85,98.59,98.38,97.92,97.94,97.82,98.31,98.42,99.13,99.11,98.5
PS,1992,98.93,98.7,98.88,98.22,98.18,97.98,98.03,98.21,98.38,98.73,99.17,99.05,98.54
PS,1993,98.91,98.68,98.74,98.43,98.31,97.85,97.91,98.0,98.39,98.89,99.19,99.08,98.53
PS,1994,98.81,98.43,98.9,98.54,98.17,97.97,97.93,98.37,98.01,98.83,99.33,99.16,98.54
PS,1995,98.79,98.81,98.61,98.54,98.29,97.87,98.15,98.36,98.32,98.79,98.72,98.94,98.52
PS,1996,98.85,98.91,98.59,98.61,98.36,98.0,98.15,98.09,98.33,98.84,98.97,98.96,98.55
PS,1997,98.61,98.85,98.91,98.55,98.07,98.04,97.98,98.18,98.34,98.71,99.07,99.12,98.54
PS,1998,98.91,98.88,98.79,98.68,98.53,98.11,97.9,98.07,98.29,98.72,98.86,99.11,98.57
PS,1999,98.71,98.79,98.63,98.43,98.25,98.05,97.99,98.11,98.36,98.82,98.92,99.06,98.51
PS,2000,99.03,98.62,98.54,98.27,98.19,97.98,97.97,98.22,98.27,98.77,99.05,98.97,98.49
PS,2001,98.72,98.94,98.28,98.56,98.14,97.93,98.08,98.0,98.33,98.79,98.84,99.12,98.47
PS,2002,98.58,98.95,98.59,98.63,98.25,97.97,97.93,98.11,98.43,98.67,98.79,99.04,98.49
PS,2003,98.73,98.84,98.78,98.55,98.47,97.97,98.0,98.08,98.43,98.72,99.05,98.81,98.53
PS,2004,98.82,98.72,98.82,98.36,98.24,98.17,98.08,98.09,98.62,98.71,99.13,99.02,98.56
PS,2005,98.59,98.83,98.62,98.54,98.17,97.88,97.88,98.13,98.61,98.79,98.84,98.66,98.46
PS,2006,98.99,99.08,98.42,98.18,98.46,98.01,97.97,98.02,98.34,98.7,98.75,99.17,98.51
PS,2007,99.1,98.82,98.68,98.56,97.97,98.05,97.65,98.31,98.35,98.8,98.95,98.75,98.5
PS,2008,99.02,98.81,98.64,98.45,98.16,98.08,98.07,97.95,98.33,98.84,98.88,98.96,98.51
PS,2009,98.93,98.72,98.74,98.47,98.25,97.83,97.91,98.07,98.38,98.56,99.01,98.7,98.46
PS,2010,98.84,98.8,98.79,98.77,98.25,98.21,98.18,98.53,98.41,98.68,98.88,98.23,98.55
PS,2011,98.76,98.84,98.75,98.47,98.23,98.06,97.95,98.14,98.18,98.88,99.09,99.02,98.53
PS,2012,98.87,98.81,98.65,98.51,98.15,97.95,97.99,98.32,98.43,98.64,98.63,98.83,98.48
PS,2013,99.0,98.97,98.6,98.23,98.36,98.0,98.04,97.95,98.48,98.78,98.77,98.66,98.48
PS,2014,99.04,99.01,98.71,98.68,98.28,97.79,98.01,98.1,98.36,98.79,98.91,98.8,98.54
PS,2015,98.85,98.74,98.86,98.67,98.13,97.9,98.08,98.02,98.34,98.76,99.14,99.11,98.55
PS,2016,98.9,99.07,98.97,98.44,98.38,98.03,98.12,97.65,98.38,98.83,99.0,99.07,98.57
PS,2017,98.88,98.78,98.63,98.39,98.35,98.02,98.09,97.86,98.29,98.84,99.0,98.99,98.51
PS,2018,98.82,98.9,98.88,98.62,98.3,98.03,98.12,98.06,98.31,98.74,99.1,99.17,98.59
PS,2019,98.99,99.03,98.53,98.45,98.41,97.84,97.99,97.97,98.58,98.67,99.03,99.16,98.55
PS,2020,98.85,99.14,98.57,98.5,98.22,97.88,98.03,98.28,98.27,98.81,99.21,98.99,98.56
PS,2021,98.99,98.84,98.86,98.84,98.14,98.06,98.13,98.14,98.44,98.98,98.78,98.95,98.59
PS,2022,98.88,98.97,98.66,98.69,98.36,98.11,97.92,98.02,98.33,98.97,98.94,98.87,98.56
TS,1981,0.4,1.8,6.15,11.39,15.36,20.68,25.2,24.33,19.88,13.87,7.34,3.64,12.57
TS,1982,1.08,1.68,6.3,10.6,17.45,19.4,22.47,24.6,19.78,14.8,10.73,4.08,12.81
TS,1983,1.83,1.21,5.7,13.13,16.58,19.17,23.76,25.72,22.11,14.34,8.02,2.65,12.92
TS,1984,-0.2,-0.74,2.39,10.1,15.44,21.26,24.9,26.12,20.58,13.88,9.23,3.7,12.26
TS,1985,0.26,2.75,6.17,11.85,17.01,19.49,24.82,25.74,22.19,15.05,8.6,2.69,13.11
TS,1986,-0.24,0.62,5.15,11.75,15.39,20.19,23.77,24.75,21.37,13.35,8.27,4.75,12.49
TS,1987,2.4,2.87,6.05,11.53,16.43,20.45,24.76,25.51,21.3,16.01,9.61,4.32,13.5
TS,1988,2.98,1.94,5.56,11.26,15.7,20.8,23.53,24.96,21.77,13.87,7.21,3.08,12.76
TS,1989,4.27,4.56,6.17,11.9,15.9,19.37,23.69,24.74,21.84,14.06,9.38,4.11,13.38
TS,1990,1.94,5.02,6.83,11.25,16.32,21.75,25.25,25.95,22.54,15.31,10.98,4.9,14.05
TS,1991,2.09,2.13,7.01,12.29,15.75,21.81,24.63,24.44,21.93,14.91,9.08,5.6,13.54
TS,1992,3.3,3.27,7.5,11.87,15.17,19.37,24.19,24.69,20.74,15.13,9.3,5.12,13.34
TS,1993,3.37,3.87,5.33,10.34,15.31,19.9,22.87,23.47,19.64,13.62,10.12,4.22,12.72
TS,1994,2.13,2.03,4.3,12.33,16.8,20.4,26.32,26.84,22.66,16.58,10.59,4.79,13.88
TS,1995,2.0,2.43,6.33,11.3,15.69,18.95,24.55,26.07,20.15,15.47,7.34,2.77,12.82
TS,1996,2.26,1.71,5.82,8.82,15.65,21.26,24.3,24.95,20.19,15.05,9.4,4.38,12.85
TS,1997,1.71,2.52,6.76,11.78,17.12,20.59,23.95,24.8,20.87,14.0,10.36,5.08,13.35
TS,1998,2.34,4.72,6.92,14.91,18.36,20.37,24.77,25.68,22.44,17.43,9.57,5.45,14.47
TS,1999,2.5,2.4,7.34,11.46,16.7,20.73,23.5,25.21,23.53,16.07,10.06,4.18,13.7
TS,2000,3.08,1.28,5.36,10.74,17.04,20.96,25.23,25.7,21.92,16.23,10.68,4.37,13.58
TS,2001,0.98,2.89,5.75,11.48,17.33,21.33,25.74,25.19,20.78,15.54,8.92,4.18,13.4
TS,2002,3.25,3.8,7.71,13.26,16.88,20.69,25.9,25.2,21.56,15.18,7.08,4.44,13.81
TS,2003,2.03,3.55,5.49,12.65,16.8,20.6,22.37,25.32,21.97,14.3,12.04,4.59,13.52
TS,2004,1.91,4.17,6.46,12.89,17.76,21.4,25.71,24.86,22.76,15.61,10.81,6.04,14.23
TS,2005,1.9,2.51,5.37,12.25,15.71,21.93,24.8,25.44,23.01,16.23,9.24,1.81,13.4
TS,2006,1.99,3.76,5.56,10.54,16.53,21.03,24.73,26.31,21.12,16.65,10.54,4.98,13.7
TS,2007,3.44,4.54,6.27,10.62,16.0,21.03,23.58,25.97,23.76,16.27,9.51,5.28,13.9
TS,2008,2.18,1.79,7.29,12.19,16.16,20.16,25.94,25.38,21.81,16.07,9.38,5.14,13.66
TS,2009,2.85,4.64,6.57,11.84,16.69,20.92,24.65,24.88,20.84,15.32,9.87,4.49,13.68
TS,2010,2.4,4.4,6.51,9.9,15.78,21.5,25.33,27.09,23.03,16.66,8.83,4.73,13.9
TS,2011,0.44,3.58,4.68,10.12,16.44,21.58,25.28,26.12,22.34,15.81,11.49,3.88,13.53
TS,2012,1.62,1.33,5.65,11.69,15.88,20.32,25.24,25.94,22.87,15.49,8.73,2.8,13.16
TS,2013,1.46,2.42,7.15,10.85,16.16,21.53,25.69,26.38,21.96,17.14,8.91,3.71,13.68
TS,2014,2.19,3.01,7.25,11.5,16.48,21.53,25.39,25.12,20.38,15.92,10.05,2.75,13.52
TS,2015,2.49,3.08,6.96,12.81,17.8,20.32,24.59,25.76,20.19,14.69,11.64,5.88,13.91
TS,2016,2.58,3.69,6.94,12.96,17.82,21.06,25.3,25.89,22.98,16.42,9.87,5.33,14.26
TS,2017,2.06,2.62,5.41,12.01,17.52,19.69,25.92,25.96,20.81,15.89,8.73,2.92,13.36
TS,2018,1.23,1.14,7.19,13.14,16.9,21.06,26.54,26.01,21.62,15.73,10.62,5.37,13.95
TS,2019,2.32,4.23,6.86,11.06,16.69,21.05,24.6,26.43,23.12,17.1,9.94,5.58,14.14
TS,2020,4.46,4.41,7.71,9.92,17.51,21.9,23.79,27.09,22.63,15.1,10.77,4.32,14.16
TS,2021,1.9,4.19,8.37,11.73,17.04,21.19,25.66,25.43,21.98,16.58,9.89,4.57,14.1
TS,2022,1.23,1.51,7.51,13.5,16.7,21.61,25.86,26.5,23.06,15.44,11.29,3.47,14.04
T2M,1981,0.19,1.58,6.0,11.3,15.34,20.62,25.12,24.19,19.69,14.09,7.45,4.15,12.55
T2M,1982,1.24,1.76,6.23,10.65,17.46,19.19,22.35,24.55,19.69,15.06,11.01,4.56,12.88
T2M,1983,2.12,1.26,5.61,13.21,16.37,18.94,23.63,25.66,21.98,14.42,8.37,2.85,12.94
T2M,1984,-0.05,-0.64,2.28,9.97,15.32,21.19,24.79,26.04,20.46,14.01,9.7,3.78,12.27
T2M,1985,0.19,2.64,5.79,11.66,16.86,19.33,24.8,25.58,22.09,15.21,8.73,2.73,13.03
