-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2022 
Location: Latitude  47.4814   Longitude 7.7305 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 562.99 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS              MERRA-2 Surface Pressure (kPa) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,1981,95.46,95.21,94.59,95.0,94.72,95.27,95.29,95.41,95.15,94.82,95.84,93.72,95.04
PS,1982,95.18,95.26,95.09,95.11,95.36,95.1,95.24,95.18,95.38,94.81,95.12,94.94,95.15
PS,1983,96.11,95.01,95.15,94.47,94.58,95.39,95.3,95.24,95.29,95.68,95.19,95.15,95.22
PS,1984,94.76,95.2,94.77,95.08,94.28,95.2,95.43,95.28,94.78,95.32,94.56,95.56,95.02
PS,1985,94.49,95.25,94.74,94.75,94.6,95.06,95.32,95.25,95.63,95.75,94.77,95.21,95.07
PS,1986,94.49,94.31,94.93,94.38,95.27,95.16,95.33,95.11,95.48,95.44,95.64,95.41,95.08
PS,1987,95.02,94.73,94.99,95.16,94.96,95.09,95.14,95.18,95.35,94.96,95.03,95.39,95.09
PS,1988,94.66,94.85,94.74,94.83,94.74,94.96,95.19,95.13,95.42,95.23,95.55,95.74,95.09
PS,1989,96.39,95.35,95.08,94.29,95.34,95.16,95.42,95.12,95.36,95.52,95.07,94.9,95.25
PS,1990,95.67,95.12,96.09,94.8,95.31,95.01,95.41,95.47,95.29,94.85,94.84,95.08,95.25
PS,1991,95.68,94.96,94.74,94.95,95.22,95.04,95.2,95.44,95.19,95.12,94.91,96.11,95.22
PS,1992,96.14,95.86,95.05,94.74,95.25,94.82,95.27,95.15,95.42,94.36,95.23,95.23,95.21
PS,1993,95.96,95.98,95.45,94.64,94.88,95.17,95.31,95.38,94.78,94.82,95.24,94.7,95.19
PS,1994,94.98,94.76,95.44,94.62,94.82,95.41,95.28,95.14,94.99,95.13,95.47,95.55,95.14
PS,1995,95.13,95.04,94.93,95.04,95.03,95.14,95.17,95.21,94.9,95.7,95.23,94.83,95.11
PS,1996,94.68,94.61,94.88,95.0,94.79,95.48,95.33,95.15,95.0,95.29,94.67,94.63,94.96
PS,1997,95.37,95.68,95.81,95.3,95.03,94.67,95.31,95.26,95.61,95.19,94.41,94.78,95.2
PS,1998,95.2,95.92,95.63,94.09,95.02,95.24,95.06,95.35,94.79,95.03,95.2,95.51,95.17
PS,1999,95.08,95.07,94.69,94.86,95.06,95.31,95.17,94.99,94.89,95.19,95.44,94.83,95.05
PS,2000,95.8,95.65,95.38,94.3,95.09,95.5,94.94,95.34,95.04,95.0,94.37,94.68,95.09
PS,2001,94.71,95.18,94.15,94.79,95.05,95.24,95.1,95.26,94.97,95.39,95.51,95.54,95.07
PS,2002,95.87,95.04,95.19,94.83,94.92,95.16,95.07,95.05,95.24,94.91,94.47,94.92,95.06
PS,2003,94.94,95.28,95.61,94.95,95.28,95.18,95.21,95.29,95.5,94.72,95.08,95.21,95.19
PS,2004,94.56,95.3,95.37,94.69,94.91,95.32,95.24,94.99,95.53,94.76,95.42,95.25,95.11
PS,2005,95.64,95.04,95.03,94.84,95.18,95.35,95.15,95.24,95.32,95.38,95.14,95.09,95.2
PS,2006,95.52,94.75,94.51,94.91,95.16,95.47,95.43,94.89,95.12,95.06,95.39,95.83,95.17
PS,2007,95.49,94.67,94.95,95.27,94.71,94.86,95.09,95.04,95.42,95.6,95.3,95.61,95.17
PS,2008,95.38,95.91,94.32,94.52,94.83,95.13,95.14,95.07,95.19,95.24,94.88,95.07,95.05
PS,2009,94.71,94.74,94.88,94.74,95.34,95.09,95.16,95.31,95.43,95.21,94.59,94.2,94.95
PS,2010,94.62,93.9,95.03,95.18,94.8,94.95,95.27,95.09,95.07,94.85,94.17,94.51,94.79
PS,2011,95.22,95.14,95.37,95.21,95.32,95.18,94.87,95.11,95.32,95.5,95.42,95.11,95.23
PS,2012,95.56,95.78,95.9,94.08,95.04,95.01,95.17,95.26,95.13,94.78,94.78,94.82,95.11
PS,2013,94.81,94.7,94.07,94.85,94.65,95.27,95.41,95.32,95.14,95.17,94.96,95.57,94.99
PS,2014,94.42,94.39,95.05,94.87,95.07,95.16,94.98,95.02,95.27,95.22,94.59,95.37,94.95
PS,2015,95.15,94.92,95.34,95.42,95.13,95.37,95.2,95.15,95.21,95.18,95.53,96.17,95.32
PS,2016,94.86,94.65,94.73,94.71,94.81,95.0,95.36,95.5,95.39,95.43,94.95,96.24,95.14
PS,2017,95.51,95.1,95.15,95.34,95.16,95.09,95.17,95.32,95.13,95.63,95.1,95.05,95.23
PS,2018,94.94,94.74,93.82,94.78,94.93,95.16,95.12,95.28,95.58,95.16,95.01,95.48,95.0
PS,2019,94.97,95.66,95.36,94.74,94.91,95.15,95.09,95.26,95.41,95.04,94.0,94.88,95.04
PS,2020,95.82,95.28,95.03,95.06,95.3,94.87,95.26,95.02,95.17,94.85,95.76,94.25,95.14
PS,2021,94.53,95.13,95.52,95.14,94.86,95.22,95.06,95.2,95.37,95.39,94.97,94.94,95.11
