-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2022 
Location: Latitude  40.7304   Longitude -73.9981 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 10.17 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS              MERRA-2 Surface Pressure (kPa) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,1981,101.49,101.98,100.94,101.57,101.29,101.24,101.43,101.59,101.42,101.83,101.36,101.38,101.46
PS,1982,101.67,102.02,101.78,101.47,101.61,101.24,101.5,101.57,101.72,101.89,102.15,102.11,101.72
PS,1983,101.8,101.64,101.0,101.01,101.44,101.52,101.37,101.51,101.75,102.06,101.26,101.9,101.52
PS,1984,102.09,101.45,101.42,101.2,101.34,101.41,101.48,101.44,101.92,102.05,101.87,102.01,101.64
PS,1985,101.13,101.87,101.65,101.52,101.23,101.17,101.46,101.71,101.89,102.08,101.95,101.58,101.6
PS,1986,101.61,101.51,101.75,101.27,101.44,101.35,101.36,101.62,101.88,101.85,102.09,102.07,101.65
PS,1987,101.26,101.68,101.67,101.27,101.81,101.31,101.46,101.55,101.53,101.8,101.95,101.44,101.56
PS,1988,102.27,101.72,101.64,100.98,101.48,101.22,101.47,101.49,101.75,101.67,101.53,101.89,101.59
PS,1989,101.98,102.05,102.04,101.45,101.34,101.42,101.61,101.43,101.84,101.79,101.37,101.69,101.66
PS,1990,101.58,101.9,102.23,101.62,101.3,101.32,101.55,101.61,101.57,101.64,101.61,101.98,101.66
