-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2022 
Location: Latitude  49.2237   Longitude -123.1636 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 62.89 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS              MERRA-2 Surface Pressure (kPa) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,1981,100.95,100.93,100.81,100.89,100.85,100.89,100.97,100.73,100.85,100.73,100.57,100.53,100.81
PS,1982,100.61,100.85,100.43,100.75,101.09,100.67,100.93,100.94,100.93,100.86,100.61,100.73,100.78
PS,1983,100.37,100.01,99.92,100.74,100.95,100.73,100.81,100.9,101.04,101.03,100.03,101.05,100.64
PS,1984,101.63,100.82,100.9,100.78,100.91,100.89,101.08,100.87,100.88,100.72,100.19,100.87,100.88
PS,1985,101.77,101.24,100.89,101.0,100.85,101.07,100.94,100.94,100.88,100.75,101.01,101.72,101.09
PS,1986,100.64,100.45,100.75,100.99,100.75,100.85,101.07,100.85,100.62,101.18,101.1,101.17,100.87
PS,1987,100.98,100.9,100.65,100.97,100.81,101.0,100.7,101.04,101.09,101.29,100.97,100.8,100.93
PS,1988,101.03,101.52,101.31,100.63,100.85,100.91,101.11,100.89,101.01,101.09,100.25,101.23,100.99
PS,1989,101.12,101.74,100.53,100.99,100.96,100.88,101.08,100.78,100.89,101.03,101.01,101.59,101.05
PS,1990,100.56,100.88,101.13,100.92,100.7,100.81,100.88,100.85,101.08,100.87,100.79,101.26,100.89
PS,1991,101.42,100.97,100.3,100.98,100.88,100.92,101.08,100.83,101.18,101.14,101.08,100.86,100.97
PS,1992,100.74,100.58,100.84,100.76,101.01,100.63,100.85,101.01,100.82,100.82,101.18,100.66,100.83
PS,1993,100.82,100.98,101.03,100.68,100.52,100.78,100.95,100.97,101.08,101.15,101.43,100.99,100.95
PS,1994,101.24,100.5,101.06,100.88,100.82,100.96,101.02,100.96,100.96,100.78,100.53,100.61,100.86
PS,1995,100.24,101.12,100.44,100.77,100.74,100.86,100.88,100.72,100.84,101.04,100.65,100.7,100.75
