-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2022 
Location: Latitude  38.8853   Longitude -77.0386 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 70.81 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS              MERRA-2 Surface Pressure (kPa) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,1981,100.92,101.25,100.43,100.93,100.58,100.59,100.78,100.9,100.79,101.18,100.85,100.85,100.83
PS,1982,101.05,101.34,101.08,100.88,100.87,100.51,100.82,100.9,100.99,101.2,101.47,101.42,101.04
PS,1983,101.15,100.98,100.31,100.36,100.71,100.81,100.78,100.82,101.07,101.31,100.64,101.26,100.85
PS,1984,101.43,100.77,100.73,100.47,100.69,100.77,100.81,100.77,101.21,101.33,101.27,101.34,100.97
PS,1985,100.64,101.25,101.02,100.83,100.53,100.52,100.76,100.99,101.23,101.35,101.12,100.99,100.93
PS,1986,101.04,100.77,101.09,100.56,100.77,100.68,100.68,100.9,101.16,101.19,101.4,101.41,100.97
PS,1987,100.72,101.1,100.96,100.49,101.08,100.65,100.76,100.81,100.8,101.18,101.28,100.88,100.89
PS,1988,101.64,101.07,101.01,100.29,100.7,100.63,100.79,100.78,101.08,101.04,100.89,101.32,100.94
PS,1989,101.34,101.38,101.25,100.8,100.61,100.72,100.89,100.76,101.09,101.1,100.78,101.1,100.98
PS,1990,100.96,101.22,101.51,100.92,100.61,100.67,100.83,100.92,100.89,100.98,101.08,101.34,100.99
PS,1991,101.32,100.99,100.42,101.01,101.02,100.81,100.66,100.87,101.17,101.15,101.27,101.3,101.0
PS,1992,100.85,100.89,100.71,100.82,101.05,100.54,100.61,101.03,101.26,101.04,101.29,101.22,100.94
PS,1993,101.48,101.12,100.95,100.64,100.74,100.83,100.67,100.86,100.87,101.01,101.34,100.91,100.95
PS,1994,101.46,101.42,100.61,100.97,100.69,100.6,100.83,100.94,100.91,101.16,101.2,101.44,101.02
PS,1995,100.91,100.87,101.16,100.7,100.63,100.76,100.67,100.77,101.03,100.85,100.96,101.12,100.87
PS,1996,101.02,100.72,100.9,100.49,100.9,100.8,100.6,101.07,100.6,100.99,101.46,101.06,100.89
PS,1997,101.06,101.43,100.98,100.58,100.59,100.66,100.67,100.75,100.7,101.04,100.68,100.53,100.8
PS,1998,101.05,100.61,100.88,100.55,100.39,100.35,100.64,100.93,100.55,101.18,101.08,101.29,100.79
PS,1999,101.32,101.05,100.84,100.66,100.83,100.97,100.69,100.53,100.69,101.18,101.18,101.14,100.92
